AAPL,6/7/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-06-06%20until%3A2012-06-08&src=typd&vertical=default&f=tweets&lang=en
AAPL,12/11/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-12-10%20until%3A2012-12-12&src=typd&vertical=default&f=tweets&lang=en
AAPL,12/14/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-12-13%20until%3A2012-12-15&src=typd&vertical=default&f=tweets&lang=en
AAPL,11/28/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-11-27%20until%3A2012-11-29&src=typd&vertical=default&f=tweets&lang=en
AAPL,11/15/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-11-14%20until%3A2012-11-16&src=typd&vertical=default&f=tweets&lang=en
AAPL,10/19/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-10-18%20until%3A2012-10-20&src=typd&vertical=default&f=tweets&lang=en
AAPL,11/23/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-11-22%20until%3A2012-11-24&src=typd&vertical=default&f=tweets&lang=en
AAPL,10/31/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-10-30%20until%3A2012-11-01&src=typd&vertical=default&f=tweets&lang=en
AAPL,5/16/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-05-15%20until%3A2012-05-17&src=typd&vertical=default&f=tweets&lang=en
AAPL,5/4/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-05-03%20until%3A2012-05-05&src=typd&vertical=default&f=tweets&lang=en
AAPL,5/2/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-05-01%20until%3A2012-05-03&src=typd&vertical=default&f=tweets&lang=en
AAPL,12/17/2008,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2008-12-16%20until%3A2008-12-18&src=typd&vertical=default&f=tweets&lang=en
AAPL,10/10/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-10-09%20until%3A2012-10-11&src=typd&vertical=default&f=tweets&lang=en
AAPL,4/27/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-04-26%20until%3A2012-04-28&src=typd&vertical=default&f=tweets&lang=en
AAPL,6/17/2010,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2010-06-16%20until%3A2010-06-18&src=typd&vertical=default&f=tweets&lang=en
AAPL,4/20/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-04-19%20until%3A2012-04-21&src=typd&vertical=default&f=tweets&lang=en
AAPL,5/18/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-05-17%20until%3A2012-05-19&src=typd&vertical=default&f=tweets&lang=en
AAPL,11/21/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-11-20%20until%3A2012-11-22&src=typd&vertical=default&f=tweets&lang=en
AAPL,12/23/2012,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2012-12-22%20until%3A2012-12-24&src=typd&vertical=default&f=tweets&lang=en
AAPL,9/8/2010,APPLE INC,https://twitter.com/search?q=APPLE%20INC%20lang%3Aen%20since%3A2010-09-07%20until%3A2010-09-09&src=typd&vertical=default&f=tweets&lang=en
